"IndicatorName","IndicatorValue","IndicatorValueYear","percent"
"Випадки хуліганства",72,2010,1
"Кількість крадіжок",3581,2010,1
"Випадки хуліганства",72,2011,1
"Кількість крадіжок",2951,2011,0.824071488411058
"Випадки хуліганства",64,2012,0.888888888888889
"Кількість крадіжок",3285,2012,0.917341524713767
"Випадки хуліганства",767,2013,10.6527777777778
"Кількість крадіжок",8775,2013,2.45043283998883
"Випадки хуліганства",530,2014,7.36111111111111
"Кількість крадіжок",10874,2014,3.03658196034627
"Випадки хуліганства",313,2015,4.34722222222222
"Кількість крадіжок",13182,2015,3.68109466629433
"Випадки хуліганства",115,2016,1.59722222222222
"Кількість крадіжок",10306,2016,2.87796704831053
"Випадки хуліганства",81,2017,1.125
"Кількість крадіжок",7278,2017,2.03239318626082
"Випадки хуліганства",71,2018,0.986111111111111
"Кількість крадіжок",7558,2018,2.11058363585591
"Випадки хуліганства",74,2019,1.02777777777778
"Кількість крадіжок",7161,2019,1.9997207483943
